scene|num|speaker|text|translation|note
greetings|41|Alex|Hey Mia, how was your weekend getaway?|嘿米娅，周末旅行怎么样？|询问周末情况
greetings|42|Mia|It was fantastic! I went hiking in the mountains near Ashford.|太棒了！去阿什福德山里徒步了。|描述活动
greetings|43|Alex|Did you stay in a cabin or a hotel?|住 cabin 还是酒店？|询问住宿
greetings|44|Mia|A cozy cabin with a fireplace. Perfect for cool evenings.|一个溪户子，还有火炉，天凉时很舒适。|赞美住宿
greetings|45|Alex|That sounds amazing. Did you try any local restaurants?|听起来 amazing，有去尝本地餐馆吗？|询问美食
greetings|46|Mia|Yes, there is this little bistro that serves wild game.|有的，一家小餐馆做野味。|介绍餐厅
greetings|47|Alex|Wild game? Like venison?|野味？比如鹿肉吗？|确认了解
greetings|48|Mia|Exactly. The elk burger was incredible.|对，鹿肉堡非常棒。|描述食物
greetings|49|Alex|I am so jealous. Did you take many photos?|好羡慕，拍了很多照片吗？|询问记录
greetings|50|Mia|Tons! The fall foliage was absolutely stunning.|拍了很多！秋叶非常漂亮。|描述景色
greetings|51|Alex|Speaking of photos, did you post any on social media?|说到照片，你发社交媒体了吗？|延伸话题
greetings|52|Mia|Just a few highlights. I prefer to live in the moment.|只发精选，我更喜欢活在当下。|表达偏好
greetings|53|Alex|That is so you. By the way, how is your new job?|这很像你。对了，你的新工作怎么样？|关心朋友
greetings|54|Mia|It is challenging but rewarding. I love my team.|有挑战但有回报，很喜欢团队。|工作感受
greetings|55|Alex|Are you settled in with your desk and everything?|桌子什么的都整好了吗？|关心适应
greetings|56|Mia|Almost. Just waiting for my ergonomic chair to arrive.|差不多，就等人体工学椅了。|等待物品
greetings|57|Alex|Those are essential for long hours at the computer.|电脑工作很重要。|共鸣
greetings|58|Mia|Exactly. Speaking of work, did you hear about the merger?|对了，听说你们 merger 怎么样？|换话题
greetings|59|Alex|Yes, it was announced yesterday. Big changes coming.|是的，昨天宣布了，有 big changes。|分享消息
greetings|60|Mia|How will it affect your department specifically?|对你部门有什么影响？|追问细节
greetings|61|Alex|We will report to a new VP of Marketing next month.|下个月汇报给新的 marketing VP。|说明变化
greetings|62|Mia|That is a significant shift in leadership.|这是个 significant shift。|分析变化
greetings|63|Alex|True. I am excited to see how campaigns will evolve.|是的，很期待 campaigns 怎么变化。|表达情感
greetings|64|Mia|Do you have meetings to discuss the transition?|讨论 transition 有会吗？|询问安排
greetings|65|Alex|Yes, three this week alone. It is going to be busy.|就这周有3个会，会很忙。|表达忙碌
greetings|66|Alex|I can relate. Let us catch up properly this weekend.|我理解，周末好好聊聊。|建议聚会
greetings|67|Alex|Absolutely. How about Saturday morning?|好啊，周六早上呢？|提出计划
greetings|68|Mia|Saturday works. There is a farmers market downtown.|周六行，有 farmers market。|接受并补充
greetings|69|Alex|Perfect. We can browse the stalls and grab lunch.|完美，逛摊位找吃的。|具体计划
greetings|70|Mia|Are you still craving that Thai place near the park?|还想吃公园附近的泰国菜吗？|提醒先前对话
greetings|71|Alex|Yes! Their green curry is incredible. Been dreaming about it.|有！他们 green curry 非常好，做梦都想吃。|热烈回应
greetings|72|Mia|I have been too. Let us make it our lunch spot then.|我也是，就定他们为午餐吧。|达成一致
greetings|73|Alex|By the way, I saw the funniest thing this morning.|对了，今天早上看到乐事。|分享趣事
greetings|74|Mia|Do tell! What happened?|[laughing] Did people react?|诱导
greetings|75|Alex|A dog in a business suit was riding the subway.|一只穿西装的狗坐地铁。|描述趣事
greetings|76|Mia|[laughing] Did people react?|[大笑] 人们有反应吗？|询问反应
greetings|77|Alex|Yes, everyone was taking photos.|有的，都在拍照。|描述反应
greetings|78|Mia|That is hilarious. I wish I had seen it.|真好笑，真希望我能看到。|赞赏
greetings|79|Alex|Next time I will text you immediately.|下次我会马上发短信。|保证
greetings|80|Alex|Speaking of lunch, do you prefer indoor or outdoor?| 

Wait, I made an error in the CSV - the columns got misaligned. Let me fix this:
